
 RUN  v3.2.7 D:/ds

 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > ends the stream on the [DONE] sentinel 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > ignores an SSE comment line 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > ignores an empty line 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > returns the delta before the usage when one frame carries both 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > skips a malformed frame with exactly one console.warn 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > accepts a frame with no space after the colon 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > strips a trailing carriage return before parsing 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > yields nothing for an empty delta content 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > maps missing usage fields to zero 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > yields three deltas, the usage and done 2ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > sends the pinned §3.9.1 request body 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > sends the authorization, content-type and event-stream accept headers 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > maps 401 to auth and never retries it 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > maps 402 to balance and never retries it 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > retries 429 once and succeeds, sleeping the first backoff 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > retries 503 once and succeeds 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > gives up after one attempt plus three retries 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > jitters each backoff by ±30% from opts.random 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > does not retry a failure that arrives after the first delta 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > reassembles a frame split mid-line, ignores comments and accepts CRLF 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > rejects with CancelledError when the caller aborts mid-stream 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.stream > yields done when the body ends without a [DONE] sentinel 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.testKey > returns ok on 200 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.testKey > returns the auth code on 401 instead of throwing 1ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.testKey > maps an aborted signal to the network code and never throws 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.testKey > sends the pinned one-token non-streaming body 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.complete > returns the message text and the mapped usage 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.complete > sends stream:false with no stream_options and a json accept header 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient.complete > makes exactly one request on 503 — complete() never retries 0ms
 ✓ |@ds/brain| src/deepseek.test.ts > DeepSeekClient over a real node:http server > streams through the global fetch across real socket writes 25ms
 ↓ |@ds/brain| src/deepseek.test.ts > C-14 — real DeepSeek API (gated on DEEPSEEK_API_KEY) > streams a real reply that opens with a valid ACT tag
 ↓ |@ds/brain| src/deepseek.test.ts > C-14 — real DeepSeek API (gated on DEEPSEEK_API_KEY) > reports a prompt cache hit on a second call with the same prefix
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > goes thinking -> speaking -> idle and writes one user row and one assistant row 5ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > resolves send() with the turnId before the client is called 13ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > emits sanitized text while linting the raw sentence 16ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > flags a reply with no leading ACT as a compliance miss 16ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > reports totalMs and never a ms field 16ms
